Default Datalog Configuration,2018-03-09 12:34:56
Serial Number,22443-30009-022-092
Timestamp - UTC,12: RelativePosition_%,2303: AbsoluteWaterFlow_m3/sec,19: RelativeWaterFlow_%,2308: AbsolutePower_W,33: RelativePower_%,2309: ExternalTemperatureSensorT1_K,2310: IntegratedTemperatureSensorT2_K,2002: DeltaT_K,15: AnalogInput,2306: HeatingEnergyRegister_Joule,2305: CoolingEnergyRegister_Joule,51: VolumeRegister_m3,202: SelectedMeterRegisterType_0_CertifiedRegister_1_Lifetime,26: Glycol_Concentration_%,453: Medium_0_Water_1_PropyleneGlycol_2_EthyleneGlycol_3_AntifrogenL_4_AntifrogenN_5_DownCal200_6_DownCall100,40004: Installation_Position_0_Device_in_supply_1_Device_in_return,111: ControlMode_0_PosCtrl_1_FlowCtrl_2_PowCtrl,2001: RelativeSetpoint_%,148: DifferentialWaterTemperatureControlStatus_0_Not_Selected_1_Standby_2_Active_3_Scaling_Standby_4_Scaling_Active,510: DeltaT_Sp_K,129: RelativeMaximumWaterFlow_%,139: RelativeMaximumPower_%,14: BusForcedControlCommand_0_None_1_Open_2_Close_3_Min_4__5_Max_6_Nom_7_8910_Motor_Stop,400: ToolForcedControlCommand_0_None_1_Open_2_Close_3_Min_4_5_Max_6_Nom_7_8910_Motor_Stop_11_Relative_Setpoint_12_Relative_Position,401: ToolForcedControlValue%,72: MasterDeviceErrorStatus_Bit0_No_Communication_Bit1_Gear_Disengaged_Bit2_Actuator_Cannot_Move_Bit3_Reverse_Flow_Bit4_Flow_Setpoint_Not_Reached_Bit5_Flow_With_Closed_Valve_Bit6_Flow_Actual_Exceeds_Flow_Nominal_Bit7_Flow_Measurement_Error_Bit8_Remote_Temperature_Error_Bit9_Flowbody_temperature_error_Bit10_Communication_To_Sensor_Interrupted_Bit11_Freeze_Warning_Bit12_Glycol_Detected_Bit13_Power_Setpoint_Not_Reached_Bit14_Device_End_Of_Life_Reached_Bit15_BusWatchdog_active_Bit16_No_dP_detected_Bit17_dP_Setpoint_Not_Reached_Bit18_Minimum-position_Applied,2027: Valve_Code,4313: SetAbsoluteDifferentialWaterPressureSetpoint_Pa,4303: SelectDifferentialWaterPressureSensorType_0:None_1:22WDP111_2:22WDP112_3:22WDP114_4:22WDP115_8:22WDP511_9:22WDP512_10:22WDP514_11:22WDP515,4310: SetDifferentialWaterPressureSensorOffset_Pa,4320: AbsoluteDifferentialWaterPressure_Pa,4321: RelativeDifferentialWaterPressure_%,2090: ControllerSetpointReached
2026-04-20 00:00:29,6.342e1,1.73012e-3,4.155e1,2.65636e4,3.0314e0,2.99177e2,3.02894e2,3.7171e0,3.243e3,4.2981439677e6,9.9967890803e11,4.63012139407e4,1,2.461e1,1,1,1,4.091e1,0,5.55e0,1.0e2,1.0e2,0,0,0.0e0,32768,50004000,5.0e4,9,0.0e0,6.66655e4,4.0287e1,1
2026-04-20 00:00:59,6.342e1,1.73942e-3,4.20508e1,2.70538e4,3.08734e0,2.99216e2,3.02959e2,3.74305e0,3.249e3,4.2981439677e6,9.9967968883e11,4.63012646273e4,1,2.461e1,1,1,1,4.091e1,0,5.55e0,1.0e2,1.0e2,0,0,0.0e0,32768,50004000,5.0e4,9,0.0e0,6.658276e4,4.0237e1,1
2026-04-20 00:01:29,6.342e1,1.7024e-3,4.08842e1,2.62704e4,2.99794e0,2.9925e2,3.02986e2,3.73594e0,3.09e3,4.2981439677e6,9.9968047415e11,4.63013154341e4,1,2.461e1,1,1,1,4.091e1,0,5.55e0,1.0e2,1.0e2,0,0,0.0e0,32768,50004000,5.0e4,9,0.0e0,6.405928e4,3.8712e1,1
2026-04-20 00:01:59,6.342e1,1.73875e-3,4.17572e1,2.69574e4,3.07634e0,2.99285e2,3.03038e2,3.75351e0,3.233e3,4.2981439677e6,9.9968125706e11,4.63013661232e4,1,2.461e1,1,1,1,4.091e1,0,5.55e0,1.0e2,1.0e2,0,0,0.0e0,32768,50004000,5.0e4,9,0.0e0,6.67896e4,4.0363e1,1
2026-04-20 00:02:29,6.342e1,1.67843e-3,4.03086e1,2.58312e4,2.94782e0,2.99294e2,3.03021e2,3.72751e0,3.08e3,4.2981439677e6,9.9968204501e11,4.63014171442e4,1,2.461e1,1,1,1,4.091e1,0,5.55e0,1.0e2,1.0e2,0,0,0.0e0,32768,50004000,5.0e4,9,0.0e0,6.370764e4,3.85e1,1
2026-04-20 00:02:59,6.342e1,1.67709e-3,4.03616e1,2.59401e4,2.96024e0,2.99322e2,3.03059e2,3.73766e0,3.074e3,4.2981439677e6,9.9968282003e11,4.63014674228e4,1,2.461e1,1,1,1,4.091e1,0,5.55e0,1.0e2,1.0e2,0,0,0.0e0,32768,50004000,5.0e4,9,0.0e0,6.346977e4,3.8356e1,1
2026-04-20 00:03:30,6.342e1,1.68319e-3,4.03223e1,2.5815e4,2.94597e0,2.99328e2,3.03051e2,3.72329e0,3.094e3,4.2981439677e6,9.9968361018e11,4.63015185492e4,1,2.461e1,1,1,1,4.091e1,0,5.55e0,1.0e2,1.0e2,0,0,0.0e0,32768,50004000,5.0e4,9,0.0e0,6.399722e4,3.8675e1,1
2026-04-20 00:04:00,6.342e1,1.70684e-3,4.08418e1,2.62444e4,2.99497e0,2.9933e2,3.03068e2,3.73782e0,3.084e3,4.2981439677e6,9.996843971e11,4.63015695425e4,1,2.461e1,1,1,1,4.091e1,0,5.55e0,1.0e2,1.0e2,0,0,0.0e0,32768,50004000,5.0e4,9,0.0e0,6.367662e4,3.8481e1,1
2026-04-20 00:04:30,6.342e1,1.66715e-3,4.0264e1,2.59462e4,2.96095e0,2.99324e2,3.03072e2,3.74786e0,3.09e3,4.2981439677e6,9.9968518778e11,4.63016205402e4,1,2.461e1,1,1,1,4.091e1,0,5.55e0,1.0e2,1.0e2,0,0,0.0e0,32768,50004000,5.0e4,9,0.0e0,6.391449e4,3.8625e1,1
2026-04-20 00:05:00,6.342e1,1.67808e-3,4.03003e1,2.59354e4,2.95971e0,2.99336e2,3.03079e2,3.74247e0,3.074e3,4.2981439677e6,9.9968597959e11,4.63016716749e4,1,2.461e1,1,1,1,4.091e1,0,5.55e0,1.0e2,1.0e2,0,0,0.0e0,32768,50004000,5.0e4,9,0.0e0,6.358354e4,3.8425e1,1
2026-04-20 00:05:30,6.342e1,1.68359e-3,4.04864e1,2.62865e4,2.99978e0,2.9931e2,3.03086e2,3.77523e0,3.084e3,4.2981439677e6,9.9968678612e11,4.63017234239e4,1,2.461e1,1,1,1,4.091e1,0,5.55e0,1.0e2,1.0e2,0,0,0.0e0,32768,50004000,5.0e4,9,0.0e0,6.379038e4,3.855e1,1
2026-04-20 00:06:00,6.342e1,1.67384e-3,4.01983e1,2.60629e4,2.97426e0,2.99296e2,3.03064e2,3.76815e0,3.094e3,4.2981439677e6,9.9968757104e11,4.63017739089e4,1,2.461e1,1,1,1,4.091e1,0,5.55e0,1.0e2,1.0e2,0,0,0.0e0,32768,50004000,5.0e4,9,0.0e0,6.391449e4,3.8625e1,1
